     14 Paris	Match
      8 sa	fille
      8 16	ans
      7 de	sa
      6 sa	mère
      5 à	la
      5 qu	il
      5 a	été
      5 Logo	Paris
      4 que	l
      4 ne	pouvais
      4 l	homme
      4 je	ne
      4 je	n
      4 de	l
      4 d	un
      4 Peta	a
      3 viol	organisé
      3 tu	avais
      3 te	toucher
      3 sort	de
      3 robot	de
      3 qu	elle
      3 pouvais	pas
      3 portrait	robot
      3 pas	comme
      3 par	sa
      3 organisé	par
      3 mains	des
      3 les	mains
      3 le	viol
      3 l	accord
      3 entre	les
      3 en	2006
      3 elle	a
      3 des	députés
      3 de	Thommo
      3 de	16
      3 d	autres
      3 comme	si
      3 avait	promis
      3 accord	de
      3 Therese	Butler
      3 C	est
      2 était	une
      2 à	te
      2 à	sa
      2 y	arrivais
      2 voix	ne
      2 viol	de
      2 une	photo
      2 un	viol
      2 toucher	si
      2 terrible	viol
      2 sur	son
      2 sortait	pas
      2 son	terrible
      2 son	salaire
      2 si	tu
      2 si	ma
      2 salaire	Chantal
      2 recherché	pour
      2 recherché	ait
      2 raconte	son
      2 quitte	l
      2 que	sa
      2 promis	à
      2 pour	viol
      2 pour	la
      2 pour	Edouard
      2 polémique	sur
      2 police	craint
      2 passagers	en
      2 pas	que
      2 pas	parler
      2 pas	eu
      2 parler	je
      2 organisation	du
      2 ne	sortait
      2 n	y
      2 mère	en
      2 millions	de
      2 me	suis
      2 mais	tu
      2 ma	voix
      2 m	a
      2 lui	a
      2 les	deux
      2 le	sort
      2 le	06
      2 la	polémique
      2 la	mère
      2 la	1ère
      2 l	organisation
      2 jour	du
      2 homme	recherché
      2 homme	a
      2 grand	débat
      2 fois	au
      2 et	Emmanuel
      2 est	là
      2 en	2018
      2 du	viol
      2 du	motel
      2 du	grand
      2 divorce	entre
      2 deux	ans
      2 dessus	de
      2 de	passagers
      2 de	lui
      2 de	divorce
      2 de	cet
      2 de	100
      2 dans	le
      2 dans	l
      2 cours	de
      2 cet	homme
      2 avais	16
      2 autres	victimes
      2 aujourd	hui
      2 au	dessus
      2 arrivais	pas
      2 a	dit
      2 a	demandé
      2 Thommo	recherché
      2 Thommo	est
      2 Therese	avait
      2 Suite	à
      2 Sondage	Ifop
      2 Philippe	et
      2 Peta	raconte
      2 Pays	Bas
      2 Match	le
      2 Le	portrait
      2 Le	Club
      2 KLM	pour
      2 Jouanno	quitte
      2 Je	ne
      2 Ifop	Eclaircie
      2 France	KLM
      2 Faits	divers
      2 Emmanuel	Macron
      2 Edouard	Philippe
      2 Eclaircie	pour
      2 Current	Affair
      2 Chantal	Jouanno
      2 Brexit	le
      2 BUTTON	Rechercher
      2 Au	cours
      2 Après	le
      2 Air	France
      2 Abonnez	vous
      2 A	Current
      2 2018	à
      2 1ère	fois
      2 100	millions
      2 06	03
      2 03	2018
      1 îles	en
      1 être	extrader
      1 être	175
      1 éventreur	chinois
      1 été	victime
      1 été	exécuté
      1 été	emprisonnée
      1 été	dévoilés
      1 été	diffusé
      1 été	condamnée
      1 été	assassinée
      1 était	un
      1 était	très
      1 était	que
      1 était	pour
      1 était	dehors
      1 était	anxieuse
      1 étais	pas
      1 étaient	meilleurs
      1 étaient	jeunes
      1 époque	Therese
      1 énorme	bourde
      1 émission	A
      1 également	que
      1 édité	par
      1 écran	Channel
      1 école	elle
      1 échanges	Thommo
      1 ça	va
      1 ça	serait
      1 ça	qu
      1 ça	il
      1 âgée	de
      1 à	peu
      1 à	l
      1 à	jour
      1 à	convaincre
      1 à	ce
      1 à	Toowoomba
      1 à	Peter
      1 à	Peta
      1 à	4
      1 à	11h56
      1 à	11h42
      1 zoom	image
      1 zoo	12h21
      1 yeux	pleuraient
      1 yeux	on
      1 yeux	exorbités
      1 y	a
      1 week	end
      1 web	série
      1 voyait	en
      1 vous	recommande
      1 vous	ne
      1 vous	au
      1 vous	BUTTON
      1 voulait	une
      1 voeux	d
      1 vivre	Mode
      1 violé	l
      1 violé	d
      1 violait	ma
      1 viol	oui
      1 viol	lorsqu
      1 viol	elle
      1 viol	Thommo
      1 viol	Peta
      1 viol	Le
      1 viol	DR
      1 ville	du
      1 vie	en
      1 victimes	quelque
      1 victimes	Il
      1 victime	d
      1 version	plus
      1 vers	les
      1 verres	ensemble
      1 verre	elle
      1 va	être
      1 va	aller
      1 une	ville
      1 une	version
      1 une	seule
      1 une	nouvelle
      1 une	interview
      1 une	idée
      1 une	fois
      1 une	dame
      1 une	cigarette
      1 une	bonne
      1 une	autre
      1 une	action
      1 un	zoo
      1 un	week
      1 un	seul
      1 un	se
      1 un	repas
      1 un	policier
      1 un	peu
      1 un	mal
      1 un	employé
      1 un	contenu
      1 un	Syrien
      1 tôt	Therese
      1 tête	ne
      1 tête	Elle
      1 téléphone	entourée
      1 tue	la
      1 tu	n
      1 très	obèse
      1 trouver	une
      1 trouver	la
      1 trouvaient	en
      1 train	de
      1 trahi	la
      1 toutes	les
      1 toute	la
      1 tout	était
      1 tout	le
      1 touristes	bloqués
      1 toucherait	pas
      1 toucher	Au
      1 tombée	en
      1 tombe	enceinte
      1 thérapeute	Avant
      1 terrorisme	un
      1 tempête	Pabuk
      1 temps	L
      1 t	elle
      1 série	Critiques
      1 sympa	de
      1 surtout	ses
      1 surnommé	Thommo
      1 sur	place
      1 sur	les
      1 sur	des
      1 sur	Paris
      1 sur	Il
      1 suis	levée
      1 suis	dit
      1 sud	est
      1 stars	quand
      1 souvient	Peta
      1 sous	les
      1 sortie	de
      1 sont	surtout
      1 sont	déroulés
      1 son	viol
      1 son	thérapeute
      1 son	mari
      1 son	fiancé
      1 son	examen
      1 son	amie
      1 sites	de
      1 site	Paris
      1 silence	durant
      1 si	je
      1 seule	fois
      1 seul	mot
      1 ses	yeux
      1 ses	amis
      1 serait	sympa
      1 semaine	après
      1 semaine	Je
      1 selon	Julien
      1 seconde	fois
      1 se	trouvaient
      1 se	souvient
      1 se	sont
      1 se	rappelle
      1 se	battre
      1 saviez	pas
      1 sans	maquillage
      1 sans	lui
      1 salon	5
      1 sa	propre
      1 sa	part
      1 sa	méga
      1 sa	manucure
      1 s	ils
      1 réussi	à
      1 réservés	Le
      1 réservée	par
      1 répondait	plus
      1 répond	Peta
      1 réel	7
      1 rien	faire
      1 retrouvé	sa
      1 resté	toute
      1 reproduction	interdite
      1 reprendre	un
      1 repas	chez
      1 rencontrer	sa
      1 rencontre	C
      1 refuse	de
      1 recueilli	les
      1 reconnu	que
      1 reconnu	auprès
      1 recommande	Brexit
      1 rappelle	Peta
      1 raconte	également
      1 raconte	encore
      1 quitté	l
      1 qui	la
      1 qui	entament
      1 quelques	verres
      1 quelques	minutes
      1 quelque	part
      1 que	ça
      1 que	vous
      1 que	tout
      1 que	quelques
      1 que	pendant
      1 que	les
      1 que	la
      1 que	ce
      1 que	c
      1 que	Peta
      1 quand	elles
      1 qu	une
      1 publisher	alternate
      1 présenter	sa
      1 précis	Peta
      1 près	de
      1 protections	d
      1 propre	mère
      1 propos	ont
      1 promis	qu
      1 prix	photoreportage
      1 prison	dont
      1 prendre	quelques
      1 prenant	dans
      1 première	un
      1 pouvais	rien
      1 poursuit	en
      1 pourrait	rencontrer
      1 pour	trouver
      1 pour	partir
      1 pour	moi
      1 pour	le
      1 pour	l
      1 pour	appeler
      1 pour	A
      1 populairesActu	1
      1 policiers	2
      1 policier	et
      1 plus	tôt
      1 plus	jeune
      1 plus	et
      1 pleurais	je
      1 pleuraient	Je
      1 place	la
      1 piégée	Thommo
      1 photoreportage	2018
      1 photo	la
      1 photo	blackface
      1 peut	être
      1 peut	pas
      1 peu	à
      1 peu	perdu
      1 peu	d
      1 personnelles	et
      1 permis	de
      1 perdu	ses
      1 pensais	pas
      1 pendant	qu
      1 pendant	le
      1 payer	les
      1 passé	Les
      1 pas	ça
      1 pas	sur
      1 pas	moyen
      1 pas	les
      1 pas	crier
      1 pas	assez
      1 pas	Elle
      1 pas	Après
      1 partir	mais
      1 part	a
      1 part	C
      1 parlait	de
      1 par	téléphone
      1 par	son
      1 par	Therese
      1 par	Lagardère
      1 page	Suivez
      1 où	les
      1 où	après
      1 oui	mais
      1 oublier	Toute
      1 organisé	son
      1 organise	le
      1 ont	été
      1 on	ne
      1 obèse	il
      1 obtenu	des
      1 numéros	Abonnez
      1 nuit	avec
      1 nouvelle	vie
      1 nouvelle	inculpation
      1 nous	Newsletter
      1 notamment	à
      1 non	répond
      1 non	je
      1 nombreux	échanges
      1 ne	saviez
      1 ne	répondait
      1 ne	peut
      1 ne	pensais
      1 ne	lui
      1 ne	la
      1 ne	font
      1 ne	buvait
      1 navigation	Logo
      1 n	était
      1 n	étais
      1 n	imaginais
      1 n	avais
      1 n	aurait
      1 n	aurais
      1 n	a
      1 méga	bombe
      1 mère	qui
      1 mère	l
      1 mère	je
      1 mère	australienne
      1 mère	a
      1 mère	Une
      1 mère	Je
      1 mère	Elle
      1 mère	Début
      1 mystérieuse	affaire
      1 mur	à
      1 moyen	continue
      1 motel	réservée
      1 motel	où
      1 mot	Ca
      1 mon	deuxième
      1 moment	précis
      1 moment	où
      1 mois	fermes
      1 moins	de
      1 moi	jusqu
      1 minutes	mais
      1 minutes	Therese
      1 mexicaine	aux
      1 mes	yeux
      1 mercredi	son
      1 meilleurs	amis
      1 me	violait
      1 me	croiraient
      1 mari	deux
      1 maquillage	Sexy
      1 manucure	et
      1 mal	bien
      1 mais	pendant
      1 mais	il
      1 mais	aussi
      1 magazine	1
      1 ma	tête
      1 ma	mère
      1 m	inscris
      1 légales	Données
      1 là	que
      1 là	qu
      1 lui	présenter
      1 lui	disais
      1 lui	dire
      1 lui	comme
      1 lui	avait
      1 lui	aurais
      1 lui	ai
      1 lorsqu	elle
      1 lit	près
      1 levée	pour
      1 leurs	nombreux
      1 lettre	de
      1 les	sites
      1 les	propos
      1 les	policiers
      1 les	oublier
      1 les	gens
      1 les	conseils
      1 les	confessions
